chapter	section	problems	page	right	wrong
11	1	80	211	3	0
14	2	14	273	3	0
6	2	10	142	2	0
10	3	9	205	2	0
11	2	36	216	2	0
1	6	22	51	1	0
2	1	3	70	1	0
2	2	60	74	1	0
3	3	2	92	1	0
3	4	62	98	1	0
7	1	35	156	1	0
8	1	51	172	1	0
8	2	74	179	1	0
9	1	42	186	1	0
12	1	20	224	1	0
12	3	24	230	1	0
12	4	12	231	1	0
12	6	15	234	1	0
12	12	12	252	1	0
13	1	20	258	1	0
13	2	24	259	1	0
13	4	20	265	1	0
18	1	20	313	1	0
18	4	24	323	1	0
1	1	6	29	0	0
1	2	8	33	0	0
1	3	82	38	0	0
1	4	67	42	0	0
1	5	75	48	0	0
1	7	2	53	0	0
1	8	26	56	0	0
1	9	45	59	0	0
1	10	58	65	0	0
2	3	6	75	0	0
2	4	22	77	0	0
3	1	9	85	0	0
3	2	32	89	0	0
3	5	84	103	0	0
4	1	50	114	0	0
4	2	42	118	0	0
5	1	43	122	0	0
5	2	24	125	0	0
5	3	62	128	0	0
5	4	41	130	0	0
5	5	16	132	0	0
6	1	25	137	0	0
6	3	12	149	0	0
6	4	25	151	0	0
6	5	20	152	0	0
7	2	34	160	0	0
7	3	33	162	1	1
9	2	18	190	0	0
10	1	20	198	0	0
11	3	34	220	0	0
12	2	34	227	0	0
12	5	10	233	0	0
12	7	21	236	0	0
12	8	20	242	0	0
12	9	15	245	0	0
12	10	30	249	1	1
12	11	31	251	0	0
14	1	36	271	0	0
15	1	10	278	1	1
15	6	20	290	0	0
17	1	8	297	0	0
17	2	15	300	0	0
17	3	15	306	0	0
18	2	17	316	0	0
13	3	8	262	0	1
15	2	40	281	0	1
15	3	20	282	0	1
15	4	30	285	0	1
15	5	26	288	0	1
16	1	24	294	0	1
18	3	17	320	0	1
10	2	9	203	0	2
